coin;price;changes per hour;changes per day;changes per week;market capitalization
BITTORRENT(NEW);₽0.00004332;-0.44%;+0.20%;-0.48%;₽41.22B
SUI;₽62.15;-0.17%;-0.05%;-0.55%;₽40.68B
GMX;₽4,541.95;-0.31%;-3.38%;-13.80%;₽40.38B
FRAXSHARE;₽548.32;-0.28%;+0.63%;-6.96%;₽40.1B
CASPER;₽3.54;+0.07%;+9.41%;+3.11%;₽39.65B
HUOBITOKEN;₽244.09;-0.15%;+1.56%;-2.91%;₽39.6B
MINA;₽41.83;-0.30%;-0.07%;-5.26%;₽39.23B
GATETOKEN;₽380.41;-0.12%;-0.92%;-3.18%;₽37.17B
GEMINIDOLLAR;₽89.04;-0.17%;-0.80%;-1.63%;₽36.84B
DASH;₽2,975.66;-0.05%;-0.69%;-4.92%;₽33.85B
WOONETWORK;₽19.28;-0.45%;-1.65%;-9.46%;₽33.22B
NEXO;₽58.68;-0.22%;+0.89%;+2.09%;₽32.86B
TRUSTWALLETTOKEN;₽76.99;-0.17%;-0.94%;-0.67%;₽32.08B
ZILLIQA;₽1.96;-0.09%;-0.42%;-5.52%;₽31.16B
1INCHNETWORK;₽30.30;-0.36%;-0.79%;-9.11%;₽30.73B
DYDX;₽193.31;-0.04%;-3.38%;+1.65%;₽30.21B
THORCHAIN;₽89.29;-0.05%;-1.94%;-5.49%;₽29.82B
PANCAKESWAP;₽138.83;-0.33%;-1.48%;-3.10%;₽29.14B
MASKNETWORK;₽351.15;-0.07%;-3.13%;+4.84%;₽28.83B
