Bitcoin;₽2,7...86.98;+0.13%;-0.13%;-0.82%;₽53.32T
Ethereum;₽175,198.64;+0.33%;-0.06%;+2.83%;₽21.06T
Tether;₽90.28;-0.19%;-0.53%;-1.04%;₽7.55T
XRP;₽69.32;+2.69%;+5.80%;+61.79%;₽3.64T
BNB;₽22,507.53;+0.18%;-0.90%;+5.12%;₽3.51T
USD Coin;₽90.25;-0.19%;-0.53%;-1.07%;₽2.46T
Solana;₽2,560.73;+0.12%;+1.15%;+30.39%;₽1.03T
Cardano;₽29.15;+0.56%;-2.73%;+10.94%;₽1.02T
Dogecoin;₽6.44;+0.40%;-1.36%;+7.49%;₽903.4B
Polygon;₽71.57;+0.49%;-2.51%;+13.30%;₽667.01B
TRX;$0.08;;;;
LTC;$95.14;;;;
DOT;$5.40;;;;
AVAX;$14.79;;;;
BCH;$254.63;;;;
WBTC;$30387.35;;;;
SHIB;$0.00;;;;
TON;$1.36;;;;
DAI;$1.00;;;;
BUSD;$1.00;;;;
LEO;$4.01;;;;
XLM;$0.14;;;;
LINK;$6.85;;;;
UNI;$5.83;;;;
ATOM;$9.67;;;;
XMR;$165.61;;;;
TUSD;$1.00;;;;
ETC;$19.19;;;;
OKB;$44.45;;;;
LDO;$2.32;;;;
FIL;$4.46;;;;
ICP;$4.16;;;;
HBAR;$0.05;;;;
ARB;$1.30;;;;
APT;$7.58;;;;
CRO;$0.06;;;;
VET;$0.02;;;;
NEAR;$1.51;;;;
QNT;$102.63;;;;
AAVE;$78.66;;;;
GRT;$0.12;;;;
BIT;$0.53;;;;
MKR;$991.48;;;;
EGLD;$37.51;;;;
OP;$1.49;;;;
ALGO;$0.12;;;;
STX;$0.65;;;;
SAND;$0.45;;;;
EOS;$0.79;;;;
XTZ;$0.87;;;;
IMX;$0.76;;;;
THETA;$0.80;;;;
MANA;$0.42;;;;
FTM;$0.27;;;;
APE;$2.05;;;;
AXS;$6.32;;;;
SNX;$2.79;;;;
USDD;$1.00;;;;
RNDR;$2.01;;;;
INJ;$9.08;;;;
CRV;$0.82;;;;
BSV;$36.87;;;;
RPL;$36.01;;;;
NEO;$9.31;;;;
PEPE;$0.00;;;;
FLOW;$0.62;;;;
COMP;$80.09;;;;
KCS;$6.19;;;;
CFX;$0.19;;;;
KAVA;$0.93;;;;
XEC;$0.00;;;;
CHZ;$0.08;;;;
USDP;$1.00;;;;
GUSD;$0.99;;;;
GALA;$0.03;;;;
KLAY;$0.17;;;;
MIOTA;$0.19;;;;
LUNC;$0.00;;;;
ZEC;$31.49;;;;
GMX;$57.10;;;;
PAXG;$1926.18;;;;
XAUT;$1954.87;;;;
FXS;$6.48;;;;
BTT;$0.00;;;;
SUI;$0.69;;;;
HT;$2.77;;;;
MINA;$0.48;;;;
XDC;$0.03;;;;
GT;$4.34;;;;
CSPR;$0.04;;;;
WOO;$0.23;;;;
1INCH;$0.41;;;;
DASH;$33.85;;;;
ZIL;$0.02;;;;
TWT;$0.84;;;;
NEXO;$0.62;;;;
RUNE;$1.03;;;;
DYDX;$2.12;;;;
CAKE;$1.53;;;;
CVX;$4.02;;;;
